Fecha,Resultado,Signo
1/02/2008,6824,4
2/02/2008,4867,10
4/02/2008,7070,7
5/02/2008,7240,11
6/02/2008,6686,12
7/02/2008,663,6
8/02/2008,5405,1
9/02/2008,3242,4
11/02/2008,638,12
12/02/2008,9904,12
13/02/2008,1525,12
14/02/2008,7067,10
15/02/2008,3034,6
16/02/2008,4737,5
18/02/2008,7863,2
19/02/2008,590,9
20/02/2008,6028,11
21/02/2008,8203,6
22/02/2008,9873,10
23/02/2008,9972,2
25/02/2008,2532,12
26/02/2008,1537,12
27/02/2008,5815,6
28/02/2008,677,3
29/02/2008,2011,7
1/03/2008,9539,12
3/03/2008,242,8
4/03/2008,357,7
5/03/2008,5236,1
6/03/2008,1458,3
7/03/2008,7544,3
8/03/2008,8470,7
10/03/2008,7868,7
11/03/2008,2614,11
12/03/2008,5251,6
13/03/2008,4442,2
14/03/2008,4532,3
15/03/2008,6019,1
17/03/2008,4624,10
18/03/2008,3883,2
19/03/2008,5462,11
22/03/2008,553,10
25/03/2008,6325,4
26/03/2008,4112,5
27/03/2008,6305,3
28/03/2008,7110,12
29/03/2008,7420,11
31/03/2008,6671,12
1/04/2008,4544,6
2/04/2008,9654,10
3/04/2008,2168,2
4/04/2008,8214,10
5/04/2008,8418,1
7/04/2008,6476,3
8/04/2008,831,12
9/04/2008,2771,11
10/04/2008,109,6
11/04/2008,832,9
12/04/2008,621,4
14/04/2008,5879,4
15/04/2008,5151,10
16/04/2008,1252,2
17/04/2008,756,7
18/04/2008,2780,6
19/04/2008,2329,11
21/04/2008,5690,5
22/04/2008,6266,1
23/04/2008,6317,4
24/04/2008,6831,2
25/04/2008,8657,12
26/04/2008,355,1
28/04/2008,2808,9
29/04/2008,8909,7
30/04/2008,4933,3
3/05/2008,5412,9
6/05/2008,9854,3
7/05/2008,5012,3
8/05/2008,1103,4
9/05/2008,9317,3
10/05/2008,7954,3
12/05/2008,7559,9
13/05/2008,1443,2
14/05/2008,3376,9
15/05/2008,2076,9
16/05/2008,1431,1
17/05/2008,7345,6
19/05/2008,3182,12
20/05/2008,7905,7
21/05/2008,1594,10
22/05/2008,2427,4
23/05/2008,1809,1
24/05/2008,9817,7
27/05/2008,7271,7
28/05/2008,4782,4
29/05/2008,2225,12
30/05/2008,6629,6
31/05/2008,6931,11
3/06/2008,6481,9
4/06/2008,9616,7
5/06/2008,1951,12
6/06/2008,1851,11
7/06/2008,6687,7
9/06/2008,5884,10
10/06/2008,2820,1
11/06/2008,4768,9
12/06/2008,3122,7
13/06/2008,5149,1
14/06/2008,1101,12
16/06/2008,8070,5
17/06/2008,5314,8
18/06/2008,692,11
19/06/2008,3179,12
20/06/2008,1646,4
21/06/2008,3694,2
23/06/2008,763,12
24/06/2008,8418,9
25/06/2008,5212,4
26/06/2008,6894,11
27/06/2008,4864,10
28/06/2008,6672,12
1/07/2008,6216,10
2/07/2008,1697,11
3/07/2008,7722,1
4/07/2008,4297,4
5/07/2008,3151,4
7/07/2008,6640,8
8/07/2008,2239,8
9/07/2008,934,7
10/07/2008,8142,2
11/07/2008,6673,11
12/07/2008,7371,9
14/07/2008,8124,6
15/07/2008,9276,12
16/07/2008,2285,8
17/07/2008,6688,2
18/07/2008,6279,1
19/07/2008,7189,3
21/07/2008,1608,10
22/07/2008,70,10
23/07/2008,6157,4
24/07/2008,833,12
25/07/2008,7481,5
26/07/2008,7425,11
28/07/2008,3977,9
29/07/2008,1725,3
30/07/2008,167,5
31/07/2008,1437,11
1/08/2008,2546,8
2/08/2008,4753,5
4/08/2008,3809,6
5/08/2008,807,8
6/08/2008,8728,5
8/08/2008,2743,9
9/08/2008,1610,12
11/08/2008,2575,2
12/08/2008,5396,5
13/08/2008,5211,7
14/08/2008,643,1
15/08/2008,7436,2
16/08/2008,2205,11
19/08/2008,3964,2
20/08/2008,1283,7
21/08/2008,6021,10
22/08/2008,76,4
23/08/2008,3332,11
25/08/2008,3913,1
26/08/2008,9194,1
27/08/2008,2215,3
28/08/2008,733,2
29/08/2008,7736,3
30/08/2008,9319,2
1/09/2008,6431,6
2/09/2008,1189,1
3/09/2008,4431,7
4/09/2008,1969,10
5/09/2008,508,11
6/09/2008,3,10
8/09/2008,4443,11
9/09/2008,4518,7
10/09/2008,8882,5
11/09/2008,6298,10
12/09/2008,1548,1
13/09/2008,9256,3
15/09/2008,1626,2
16/09/2008,2893,9
17/09/2008,2168,6
18/09/2008,1602,11
19/09/2008,1556,5
20/09/2008,9349,1
22/09/2008,7221,6
23/09/2008,9986,3
24/09/2008,2268,8
25/09/2008,9826,5
26/09/2008,8300,2
27/09/2008,2516,8
29/09/2008,9854,9
30/09/2008,6088,4
1/10/2008,3512,3
2/10/2008,2172,8
3/10/2008,9231,7
4/10/2008,8116,9
6/10/2008,1394,10
7/10/2008,255,8
8/10/2008,3785,9
9/10/2008,4208,9
10/10/2008,2282,5
11/10/2008,9535,2
14/10/2008,688,8
15/10/2008,1419,2
16/10/2008,444,5
17/10/2008,822,6
18/10/2008,5819,10
20/10/2008,2444,3
21/10/2008,6276,2
22/10/2008,4668,5
23/10/2008,1857,11
24/10/2008,8114,4
25/10/2008,8124,12
27/10/2008,1714,6
28/10/2008,4160,12
29/10/2008,7283,3
30/10/2008,9364,6
31/10/2008,5819,5
1/11/2008,7391,2
4/11/2008,9093,12
5/11/2008,8065,12
6/11/2008,6565,9
7/11/2008,4271,12
8/11/2008,2675,3
10/11/2008,2098,10
11/11/2008,1319,5
12/11/2008,7435,5
13/11/2008,5913,3
14/11/2008,7079,1
15/11/2008,9700,8
18/11/2008,4753,4
19/11/2008,2402,6
20/11/2008,1492,12
21/11/2008,9380,2
22/11/2008,6885,4
23/11/2008,6265,7
24/11/2008,6265,7
25/11/2008,9327,2
26/11/2008,8924,6
27/11/2008,5242,11
28/11/2008,1054,3
29/11/2008,6769,6
1/12/2008,3066,11
2/12/2008,2327,12
3/12/2008,2653,5
4/12/2008,5480,7
5/12/2008,5471,5
6/12/2008,4740,6
9/12/2008,8731,6
10/12/2008,2413,7
11/12/2008,2144,3
12/12/2008,8771,10
13/12/2008,8656,4
15/12/2008,6117,1
16/12/2008,2812,9
17/12/2008,6154,1
18/12/2008,1122,2
19/12/2008,6496,6
20/12/2008,5918,6
22/12/2008,1052,10
23/12/2008,4377,1
24/12/2008,4833,8
26/12/2008,8880,3
27/12/2008,9296,4
29/12/2008,1498,1
30/12/2008,8906,4
31/12/2008,1544,4
2/01/2009,1985,9
3/01/2009,7229,4
5/01/2009,207,8
6/01/2009,4833,5
7/01/2009,7050,12
8/01/2009,3750,2
9/01/2009,8992,2
10/01/2009,2574,8
11/01/2009,4551,2
13/01/2009,457,2
14/01/2009,4834,8
15/01/2009,6471,1
16/01/2009,5387,2
17/01/2009,2274,2
18/01/2009,5943,4
19/01/2009,7969,7
20/01/2009,2500,11
21/01/2009,5039,3
22/01/2009,4988,9
23/01/2009,907,5
24/01/2009,1571,6
25/01/2009,2894,6
26/01/2009,3509,7
27/01/2009,8344,7
28/01/2009,2843,1
29/01/2009,5136,3
30/01/2009,3865,7
31/01/2009,3957,7
1/02/2009,9657,5
2/02/2009,2594,11
3/02/2009,8471,4
4/02/2009,8150,8
5/02/2009,3952,12
6/02/2009,6961,9
7/02/2009,5445,7
8/02/2009,6643,6
9/02/2009,9856,7
10/02/2009,5643,11
11/02/2009,8334,1
12/02/2009,5161,5
13/02/2009,9571,5
14/02/2009,3672,9
15/02/2009,7519,5
16/02/2009,6999,1
17/02/2009,9326,6
18/02/2009,9685,11
19/02/2009,1541,8
20/02/2009,7932,12
21/02/2009,7122,5
22/02/2009,4361,7
23/02/2009,5737,10
24/02/2009,2847,7
25/02/2009,1298,10
26/02/2009,4656,3
27/02/2009,3810,8
28/02/2009,7562,10
1/03/2009,7408,6
2/03/2009,4407,2
3/03/2009,1547,2
4/03/2009,2453,10
5/03/2009,2314,5
6/03/2009,348,10
7/03/2009,4580,5
8/03/2009,5942,10
9/03/2009,151,11
10/03/2009,8139,1
11/03/2009,5458,8
12/03/2009,4062,2
13/03/2009,4408,10
14/03/2009,9275,6
15/03/2009,7471,11
16/03/2009,5402,7
17/03/2009,77,10
18/03/2009,8667,6
19/03/2009,4791,4
20/03/2009,4504,7
21/03/2009,5828,2
22/03/2009,4278,9
24/03/2009,6252,10
25/03/2009,728,1
26/03/2009,5941,3
27/03/2009,4518,9
28/03/2009,1970,12
29/03/2009,7270,1
30/03/2009,5368,7
31/03/2009,1147,9
1/04/2009,6520,6
2/04/2009,6835,9
3/04/2009,5109,7
4/04/2009,8744,12
5/04/2009,8693,6
6/04/2009,481,5
7/04/2009,7291,2
8/04/2009,5308,4
11/04/2009,4219,11
12/04/2009,8403,8
13/04/2009,2073,7
14/04/2009,2912,6
15/04/2009,2656,4
16/04/2009,8471,11
17/04/2009,4785,12
18/04/2009,9618,10
19/04/2009,1759,4
20/04/2009,9690,5
21/04/2009,1192,2
22/04/2009,6763,3
23/04/2009,8789,8
24/04/2009,4942,2
25/04/2009,3952,5
26/04/2009,4752,5
27/04/2009,690,6
28/04/2009,8442,11
29/04/2009,961,7
30/04/2009,8739,11
2/05/2009,6572,8
3/05/2009,6775,10
4/05/2009,8918,1
5/05/2009,4337,10
6/05/2009,5316,12
7/05/2009,5079,1
8/05/2009,3500,4
9/05/2009,679,10
10/05/2009,9667,8
11/05/2009,683,9
12/05/2009,9582,11
13/05/2009,2810,7
14/05/2009,7745,10
15/05/2009,9622,1
16/05/2009,2598,9
17/05/2009,2643,3
18/05/2009,2203,3
19/05/2009,5224,8
20/05/2009,2870,6
21/05/2009,4086,8
22/05/2009,3792,9
23/05/2009,8673,11
24/05/2009,5190,10
26/05/2009,7056,6
27/05/2009,1717,8
28/05/2009,5376,4
29/05/2009,24,4
30/05/2009,8527,3
31/05/2009,8790,4
1/06/2009,6816,1
2/06/2009,9842,10
3/06/2009,2952,11
4/06/2009,3755,8
5/06/2009,910,11
6/06/2009,3112,3
7/06/2009,1617,2
8/06/2009,1518,7
9/06/2009,6108,11
10/06/2009,6807,9
11/06/2009,3897,7
12/06/2009,1803,4
14/06/2009,8068,7
16/06/2009,3492,3
17/06/2009,1532,10
18/06/2009,9369,5
19/06/2009,3699,12
20/06/2009,6675,6
21/06/2009,1170,10
22/06/2009,8969,11
23/06/2009,4085,6
24/06/2009,5436,9
25/06/2009,2687,9
26/06/2009,9392,9
27/06/2009,1002,1
28/06/2009,7329,7
29/06/2009,2271,7
30/06/2009,4511,12
1/07/2009,5585,8
2/07/2009,4986,3
3/07/2009,2587,3
4/07/2009,9345,12
5/07/2009,5834,1
6/07/2009,6182,10
7/07/2009,8017,7
8/07/2009,5726,8
9/07/2009,1244,1
10/07/2009,6744,11
11/07/2009,6080,7
12/07/2009,8170,12
13/07/2009,3317,3
14/07/2009,3369,7
15/07/2009,1337,8
16/07/2009,7292,1
17/07/2009,1474,12
18/07/2009,1988,10
19/07/2009,1597,7
20/07/2009,664,4
21/07/2009,2731,3
22/07/2009,9968,3
23/07/2009,2560,7
24/07/2009,6600,9
25/07/2009,2372,9
26/07/2009,9252,1
27/07/2009,8831,9
28/07/2009,2488,5
29/07/2009,8324,2
30/07/2009,7403,6
31/07/2009,8608,9
1/08/2009,2788,7
2/08/2009,9912,5
3/08/2009,5851,10
4/08/2009,9696,10
5/08/2009,3720,7
